Time,Rot1800,IMF1800,PLS1800,IMF_PTS1800,PLS_PTS1800,ABS_B1800,F1800,THETA_AV1800,PHI_AV1800,BX_GSE1800,BY_GSE1800,BZ_GSE1800,BY_GSM1800,BZ_GSM1800,SIGMA-ABS_B1800,SIGMA-B1800,SIGMA-Bx1800,SIGMA-By1800,SIGMA-Bz1800,T1800,N1800,V1800,PHI-V1800,THETA-V1800,Ratio1800,Pressure1800,SIGMA-T1800,SIGMA-N1800,SIGMA-V1800,SIGMA-PHI-V1800,SIGMA-THETA-V1800,SIGMA-ratio1800,E1800,Beta1800,Mach_num1800,Mgs_mach_num1800,PR-FLX_11800,PR-FLX_21800,PR-FLX_41800,PR-FLX_101800,PR-FLX_301800,PR-FLX_601800,MFLX1800,R1800,F10_INDEX1800,KP1800,DST1800,AE1800,AP_INDEX1800,AL_INDEX1800,AU_INDEX1800,PC_N_INDEX1800,Solar_Lyman_alpha1800,Proton_QI1800
2021-02-01 00:30:00+00:00,2557.0,51.0,52.0,60.0,36.0,4.699999809265137,4.400000095367432,-42.0,25.299999237060547,3.0,1.399999976158142,-2.9000000953674316,2.5,-2.0,0.30000001192092896,1.7000000476837158,0.5,1.600000023841858,0.4000000059604645,28846.0,9.0,332.0,0.699999988079071,-1.399999976158142,0.014000000432133675,1.75,1783.0,0.4000000059604645,1.0,0.4000000059604645,0.20000000298023224,0.004000000189989805,0.6600000262260437,2.6600000858306885,10.600000381469727,5.800000190734863,,,,,,,,0.0,70.80000305175781,17.0,4.0,33.0,6.0,-31.0,2.0,0.30000001192092896,0.006432000081986189,0.010599999688565731
2021-02-01 01:30:00+00:00,2557.0,51.0,52.0,58.0,29.0,4.199999809265137,3.5,-48.79999923706055,36.900001525878906,1.7999999523162842,1.399999976158142,-2.5999999046325684,2.4000000953674316,-1.7999999523162842,0.20000000298023224,2.200000047683716,1.100000023841858,1.899999976158142,0.6000000238418579,32991.0,9.100000381469727,332.0,0.800000011920929,-0.8999999761581421,0.01600000075995922,1.7799999713897705,3594.0,0.4000000059604645,2.0,0.5,0.30000001192092896,0.004000000189989805,0.6000000238418579,3.4600000381469727,11.899999618530273,6.0,,,,,,,,0.0,70.80000305175781,17.0,3.0,48.0,6.0,-39.0,9.0,1.0,0.006432000081986189,0.00839999970048666
2021-02-01 02:30:00+00:00,2557.0,51.0,52.0,61.0,37.0,4.300000190734863,4.099999904632568,-34.599998474121094,84.5,0.30000001192092896,3.299999952316284,-2.299999952316284,3.9000000953674316,-0.800000011920929,0.20000000298023224,1.2999999523162842,0.699999988079071,0.6000000238418579,0.8999999761581421,35752.0,9.0,329.0,0.30000001192092896,-0.5,0.019999999552965164,1.7599999904632568,4270.0,0.30000001192092896,2.0,0.30000001192092896,0.6000000238418579,0.0010000000474974513,0.25999999046325684,3.319999933242798,11.5,5.800000190734863,,,,,,,,0.0,70.80000305175781,17.0,2.0,47.0,6.0,-26.0,21.0,1.2999999523162842,0.006432000081986189,0.008999999612569809
2021-02-01 03:30:00+00:00,2557.0,51.0,52.0,59.0,35.0,4.0,3.5999999046325684,-77.5999984741211,92.5,0.0,0.800000011920929,-3.5,2.0,-3.0,0.30000001192092896,1.899999976158142,1.100000023841858,1.399999976158142,0.6000000238418579,42123.0,9.600000381469727,326.0,1.399999976158142,-1.100000023841858,0.020999999716877937,1.850000023841858,7372.0,0.4000000059604645,2.0,0.5,0.5,0.004000000189989805,0.9800000190734863,4.260000228881836,12.600000381469727,5.800000190734863,,,,,,,,0.0,70.80000305175781,20.0,3.0,36.0,7.0,-13.0,23.0,0.699999988079071,0.006432000081986189,0.007499999832361937
2021-02-01 04:30:00+00:00,2557.0,51.0,52.0,58.0,35.0,3.9000000953674316,3.5,-23.799999237060547,91.4000015258789,-0.10000000149011612,3.200000047683716,-1.399999976158142,3.5,-0.30000001192092896,0.30000001192092896,1.7000000476837158,0.4000000059604645,0.699999988079071,1.5,45137.0,9.199999809265137,324.0,0.4000000059604645,-0.8999999761581421,0.026000000536441803,1.7799999713897705,3722.0,0.4000000059604645,2.0,0.699999988079071,0.800000011920929,0.0010000000474974513,0.10000000149011612,4.369999885559082,12.600000381469727,5.800000190734863,,,,,,,,0.0,70.80000305175781,20.0,2.0,83.0,7.0,-36.0,47.0,0.800000011920929,0.006432000081986189,0.007499999832361937
2021-02-01 05:30:00+00:00,2557.0,51.0,52.0,59.0,33.0,4.5,4.0,-7.099999904632568,98.80000305175781,-0.6000000238418579,3.9000000953674316,-0.5,3.9000000953674316,0.5,0.20000000298023224,1.899999976158142,0.6000000238418579,1.0,1.5,44401.0,9.0,321.0,0.5,-1.600000023841858,0.026000000536441803,1.7100000381469727,2257.0,0.4000000059604645,2.0,1.100000023841858,0.4000000059604645,0.0020000000949949026,-0.1599999964237213,3.190000057220459,10.699999809265137,5.5,,,,,,,,0.0,70.80000305175781,20.0,3.0,114.0,7.0,-43.0,71.0,1.5,0.006432000081986189,0.010400000028312206
2021-02-01 06:30:00+00:00,2557.0,51.0,52.0,60.0,36.0,4.5,4.099999904632568,26.100000381469727,111.4000015258789,-1.2999999523162842,3.4000000953674316,1.7999999523162842,2.9000000953674316,2.5,0.30000001192092896,1.7999999523162842,0.4000000059604645,1.0,1.5,44847.0,8.399999618530273,319.0,0.4000000059604645,-2.0999999046325684,0.02800000086426735,1.590000033378601,2998.0,0.30000001192092896,1.0,0.5,0.699999988079071,0.0020000000949949026,-0.800000011920929,2.990000009536743,10.300000190734863,5.400000095367432,,,,,,,,0.0,70.80000305175781,0.0,5.0,42.0,0.0,-12.0,30.0,0.6000000238418579,0.006432000081986189,0.011300000362098217
2021-02-01 07:30:00+00:00,2557.0,51.0,52.0,59.0,35.0,3.9000000953674316,3.700000047683716,14.199999809265137,100.9000015258789,-0.699999988079071,3.5,0.8999999761581421,3.299999952316284,1.5,0.20000000298023224,1.2999999523162842,1.0,0.4000000059604645,0.699999988079071,41296.0,8.899999618530273,319.0,-0.30000001192092896,-1.899999976158142,0.02199999988079071,1.649999976158142,3199.0,0.6000000238418579,4.0,0.5,0.4000000059604645,0.003000000026077032,-0.47999998927116394,4.130000114440918,12.199999809265137,5.699999809265137,,,,,,,,0.0,70.80000305175781,0.0,6.0,14.0,0.0,-3.0,11.0,0.20000000298023224,0.006432000081986189,0.00800000037997961
2021-02-01 08:30:00+00:00,2557.0,51.0,52.0,62.0,37.0,3.700000047683716,3.5,10.199999809265137,124.0999984741211,-1.899999976158142,2.799999952316284,0.6000000238418579,2.700000047683716,1.0,0.30000001192092896,1.2999999523162842,0.4000000059604645,0.6000000238418579,1.100000023841858,38108.0,9.899999618530273,317.0,-0.5,-2.0999999046325684,0.019999999552965164,1.7899999618530273,1176.0,0.5,1.0,0.30000001192092896,0.5,0.0020000000949949026,-0.3199999928474426,5.010000228881836,13.5,5.800000190734863,,,,,,,,0.0,70.80000305175781,0.0,6.0,17.0,0.0,-3.0,14.0,0.10000000149011612,0.006432000081986189,0.006500000134110451
2021-02-01 09:30:00+00:00,2557.0,51.0,52.0,59.0,34.0,4.5,4.300000190734863,30.200000762939453,130.39999389648438,-2.4000000953674316,2.799999952316284,2.200000047683716,2.5,2.5,0.4000000059604645,1.2000000476837158,0.6000000238418579,0.8999999761581421,0.6000000238418579,36460.0,9.800000190734863,318.0,-1.100000023841858,-2.200000047683716,0.020999999716877937,1.7899999618530273,1409.0,0.30000001192092896,2.0,0.5,0.4000000059604645,0.0010000000474974513,-0.800000011920929,3.319999933242798,11.100000381469727,5.599999904632568,,,,,,,,0.0,70.80000305175781,0.0,7.0,21.0,0.0,-5.0,16.0,0.0,0.006432000081986189,0.009700000286102295
