Time,Rot1800,IMF1800,PLS1800,IMF_PTS1800,PLS_PTS1800,ABS_B1800,F1800,THETA_AV1800,PHI_AV1800,BX_GSE1800,BY_GSE1800,BZ_GSE1800,BY_GSM1800,BZ_GSM1800,SIGMA-ABS_B1800,SIGMA-B1800,SIGMA-Bx1800,SIGMA-By1800,SIGMA-Bz1800,T1800,N1800,V1800,PHI-V1800,THETA-V1800,Ratio1800,Pressure1800,SIGMA-T1800,SIGMA-N1800,SIGMA-V1800,SIGMA-PHI-V1800,SIGMA-THETA-V1800,SIGMA-ratio1800,E1800,Beta1800,Mach_num1800,Mgs_mach_num1800,PR-FLX_11800,PR-FLX_21800,PR-FLX_41800,PR-FLX_101800,PR-FLX_301800,PR-FLX_601800,MFLX1800,R1800,F10_INDEX1800,KP1800,DST1800,AE1800,AP_INDEX1800,AL_INDEX1800,AU_INDEX1800,PC_N_INDEX1800,Solar_Lyman_alpha1800,Proton_QI1800
2020-09-01 00:30:00+00:00,2551.0,51.0,52.0,61.0,34.0,5.699999809265137,4.800000190734863,23.600000381469727,177.10000610351562,-4.400000095367432,0.20000000298023224,1.899999976158142,0.6000000238418579,1.7999999523162842,0.20000000298023224,2.799999952316284,0.800000011920929,2.299999952316284,1.399999976158142,203415.0,3.9000000953674316,562.0,1.399999976158142,-0.8999999761581421,0.04699999839067459,2.440000057220459,21850.0,0.30000001192092896,11.0,2.299999952316284,1.2999999523162842,0.00800000037997961,-1.0099999904632568,1.659999966621399,9.699999809265137,6.199999809265137,,,,,,,,0.0,70.80000305175781,27.0,-15.0,128.0,12.0,-80.0,48.0,0.800000011920929,0.006275000050663948,0.012500000186264515
2020-09-01 01:30:00+00:00,2551.0,51.0,52.0,58.0,34.0,5.800000190734863,5.300000190734863,16.100000381469727,182.3000030517578,-5.0,-0.20000000298023224,1.5,0.10000000149011612,1.5,0.10000000149011612,2.4000000953674316,0.5,1.7999999523162842,1.5,204775.0,4.0,557.0,1.899999976158142,-0.800000011920929,0.03799999877810478,2.390000104904175,14203.0,0.20000000298023224,5.0,2.0,1.5,0.003000000026077032,-0.8399999737739563,1.649999976158142,9.600000381469727,6.199999809265137,,,,,,,,0.0,70.80000305175781,27.0,-16.0,108.0,12.0,-44.0,64.0,0.8999999761581421,0.006275000050663948,0.012900000438094139
2020-09-01 02:30:00+00:00,2551.0,51.0,52.0,63.0,38.0,5.300000190734863,4.800000190734863,-2.799999952316284,125.80000305175781,-2.799999952316284,3.9000000953674316,-0.20000000298023224,3.700000047683716,-1.2000000476837158,0.30000001192092896,2.200000047683716,1.600000023841858,1.0,1.100000023841858,185324.0,4.099999904632568,569.0,-0.8999999761581421,1.100000023841858,0.03200000151991844,2.5,15936.0,0.4000000059604645,13.0,0.8999999761581421,1.0,0.003000000026077032,0.6800000071525574,1.899999976158142,10.899999618530273,6.699999809265137,,,,,,,,0.0,70.80000305175781,27.0,-16.0,386.0,12.0,-273.0,113.0,1.2999999523162842,0.006275000050663948,0.010099999606609344
2020-09-01 03:30:00+00:00,2551.0,51.0,52.0,62.0,37.0,4.900000095367432,3.299999952316284,-61.70000076293945,93.30000305175781,-0.10000000149011612,1.600000023841858,-2.9000000953674316,0.699999988079071,-3.299999952316284,0.5,3.4000000953674316,1.0,2.0999999046325684,2.5,190808.0,4.099999904632568,592.0,0.6000000238418579,2.0999999046325684,0.03700000047683716,2.75,25534.0,0.30000001192092896,7.0,1.2999999523162842,1.600000023841858,0.004000000189989805,1.9500000476837158,2.2699999809265137,12.199999809265137,7.099999904632568,,,,,,,,0.0,70.80000305175781,43.0,-18.0,665.0,32.0,-541.0,125.0,3.200000047683716,0.006275000050663948,0.007899999618530273
2020-09-01 04:30:00+00:00,2551.0,51.0,52.0,57.0,32.0,5.5,2.799999952316284,-26.100000381469727,107.19999694824219,-0.699999988079071,2.4000000953674316,-1.2000000476837158,1.899999976158142,-2.0,0.800000011920929,4.599999904632568,3.4000000953674316,0.8999999761581421,3.0,200788.0,4.099999904632568,602.0,-0.6000000238418579,0.5,0.03700000047683716,2.8499999046325684,26683.0,0.4000000059604645,21.0,0.8999999761581421,2.200000047683716,0.007000000216066837,1.2000000476837158,1.8600000143051147,11.100000381469727,6.900000095367432,,,,,,,,0.0,70.80000305175781,43.0,-22.0,481.0,32.0,-400.0,82.0,3.299999952316284,0.006275000050663948,0.009700000286102295
2020-09-01 05:30:00+00:00,2551.0,51.0,52.0,64.0,35.0,5.900000095367432,5.099999904632568,3.4000000953674316,126.9000015258789,-3.0999999046325684,4.099999904632568,0.30000001192092896,3.9000000953674316,-1.2999999523162842,0.5,2.9000000953674316,1.100000023841858,0.800000011920929,2.5,224229.0,3.5999999046325684,606.0,-0.6000000238418579,-1.0,0.04699999839067459,2.619999885559082,36820.0,0.20000000298023224,17.0,2.0,1.7999999523162842,0.012000000104308128,0.7900000214576721,1.5199999809265137,9.699999809265137,6.400000095367432,,,,,,,,0.0,70.80000305175781,43.0,-25.0,500.0,32.0,-378.0,121.0,2.5,0.006275000050663948,0.012500000186264515
2020-09-01 06:30:00+00:00,2551.0,51.0,52.0,60.0,37.0,5.099999904632568,4.5,-3.0999999046325684,121.9000015258789,-2.4000000953674316,3.799999952316284,-0.20000000298023224,3.299999952316284,-1.7999999523162842,0.20000000298023224,2.299999952316284,1.100000023841858,0.8999999761581421,1.7999999523162842,235348.0,3.700000047683716,623.0,0.8999999761581421,-0.8999999761581421,0.052000001072883606,2.9000000953674316,16781.0,0.20000000298023224,9.0,0.800000011920929,1.2000000476837158,0.006000000052154064,1.1200000047683716,2.1500000953674316,11.699999809265137,6.900000095367432,,,,,,,,0.0,70.80000305175781,27.0,-20.0,632.0,12.0,-535.0,97.0,2.799999952316284,0.006275000050663948,0.00860000029206276
2020-09-01 07:30:00+00:00,2551.0,51.0,52.0,59.0,35.0,4.800000190734863,4.300000190734863,-14.800000190734863,135.10000610351562,-2.9000000953674316,2.9000000953674316,-1.100000023841858,2.0999999046325684,-2.299999952316284,0.10000000149011612,2.200000047683716,1.100000023841858,0.8999999761581421,1.600000023841858,186411.0,3.5,614.0,0.8999999761581421,0.20000000298023224,0.04100000113248825,2.559999942779541,11601.0,0.30000001192092896,10.0,0.5,1.100000023841858,0.004000000189989805,1.409999966621399,1.9900000095367432,12.0,7.300000190734863,,,,,,,,0.0,70.80000305175781,27.0,-26.0,480.0,12.0,-377.0,102.0,2.4000000953674316,0.006275000050663948,0.008299999870359898
2020-09-01 08:30:00+00:00,2551.0,51.0,52.0,61.0,37.0,3.799999952316284,3.5999999046325684,-4.099999904632568,161.60000610351562,-3.4000000953674316,1.100000023841858,-0.30000001192092896,0.8999999761581421,-0.800000011920929,0.30000001192092896,1.2999999523162842,0.4000000059604645,0.800000011920929,0.8999999761581421,190958.0,3.200000047683716,614.0,1.899999976158142,-0.10000000149011612,0.0430000014603138,2.359999895095825,13046.0,0.10000000149011612,5.0,0.699999988079071,0.800000011920929,0.003000000026077032,0.49000000953674316,2.940000057220459,14.5,7.699999809265137,,,,,,,,0.0,70.80000305175781,27.0,-29.0,528.0,12.0,-367.0,161.0,2.200000047683716,0.006275000050663948,0.00570000009611249
2020-09-01 09:30:00+00:00,2551.0,51.0,52.0,59.0,35.0,3.799999952316284,3.299999952316284,-8.800000190734863,160.10000610351562,-3.0999999046325684,1.100000023841858,-0.5,0.699999988079071,-1.0,0.10000000149011612,1.7000000476837158,0.4000000059604645,0.800000011920929,1.5,165644.0,3.0,612.0,1.7000000476837158,-0.10000000149011612,0.041999999433755875,2.190000057220459,8350.0,0.10000000149011612,3.0,0.6000000238418579,1.100000023841858,0.003000000026077032,0.6100000143051147,2.5399999618530273,13.899999618530273,7.800000190734863,,,,,,,,0.0,70.80000305175781,30.0,-23.0,568.0,15.0,-415.0,153.0,1.7999999523162842,0.006275000050663948,0.006099999882280827
