Time,Rot1800,IMF1800,PLS1800,IMF_PTS1800,PLS_PTS1800,ABS_B1800,F1800,THETA_AV1800,PHI_AV1800,BX_GSE1800,BY_GSE1800,BZ_GSE1800,BY_GSM1800,BZ_GSM1800,SIGMA-ABS_B1800,SIGMA-B1800,SIGMA-Bx1800,SIGMA-By1800,SIGMA-Bz1800,T1800,N1800,V1800,PHI-V1800,THETA-V1800,Ratio1800,Pressure1800,SIGMA-T1800,SIGMA-N1800,SIGMA-V1800,SIGMA-PHI-V1800,SIGMA-THETA-V1800,SIGMA-ratio1800,E1800,Beta1800,Mach_num1800,Mgs_mach_num1800,PR-FLX_11800,PR-FLX_21800,PR-FLX_41800,PR-FLX_101800,PR-FLX_301800,PR-FLX_601800,MFLX1800,R1800,F10_INDEX1800,KP1800,DST1800,AE1800,AP_INDEX1800,AL_INDEX1800,AU_INDEX1800,PC_N_INDEX1800,Solar_Lyman_alpha1800,Proton_QI1800
2021-12-01 00:30:00+00:00,2568.0,51.0,52.0,62.0,36.0,9.800000190734863,8.300000190734863,14.199999809265137,112.5,-3.0999999046325684,7.400000095367432,2.0,7.400000095367432,2.0,1.7999999523162842,5.300000190734863,2.0999999046325684,2.299999952316284,4.199999809265137,348965.0,8.600000381469727,459.0,5.099999904632568,-1.899999976158142,0.041999999433755875,3.5299999713897705,108145.0,1.2000000476837158,8.0,1.7000000476837158,2.5,0.006000000052154064,-0.9200000166893005,1.7799999713897705,6.900000095367432,4.300000190734863,,,,,,,,43.0,84.0,40.0,-43.0,296.0,27.0,-110.0,186.0,1.7999999523162842,0.006928000133484602,0.025200000032782555
2021-12-01 01:30:00+00:00,2568.0,51.0,52.0,60.0,34.0,7.099999904632568,4.900000095367432,-6.199999809265137,167.10000610351562,-4.699999809265137,1.100000023841858,-0.5,1.100000023841858,-0.5,1.2000000476837158,5.099999904632568,1.399999976158142,4.199999809265137,2.5999999046325684,390661.0,9.199999809265137,455.0,5.699999809265137,-1.2999999523162842,0.0430000014603138,3.7300000190734863,47126.0,0.800000011920929,7.0,2.299999952316284,1.5,0.010999999940395355,0.23000000417232513,3.940000057220459,9.699999809265137,4.599999904632568,,,,,,,,43.0,84.0,40.0,-36.0,214.0,27.0,-124.0,90.0,1.100000023841858,0.006928000133484602,0.012600000016391277
2021-12-01 02:30:00+00:00,2568.0,51.0,52.0,64.0,38.0,7.099999904632568,4.599999904632568,1.7999999523162842,129.89999389648438,-3.0,3.5,0.10000000149011612,3.5,-0.10000000149011612,0.699999988079071,5.0,2.0999999046325684,3.700000047683716,2.700000047683716,370440.0,7.599999904632568,479.0,2.9000000953674316,-1.5,0.03700000047683716,3.3399999141693115,32642.0,0.699999988079071,15.0,2.0999999046325684,1.899999976158142,0.006000000052154064,0.05000000074505806,3.130000114440918,9.300000190734863,4.800000190734863,,,,,,,,43.0,84.0,40.0,-35.0,371.0,27.0,-259.0,112.0,2.0,0.006928000133484602,0.013799999840557575
2021-12-01 03:30:00+00:00,2568.0,51.0,52.0,59.0,35.0,7.599999904632568,6.0,22.100000381469727,100.5999984741211,-1.0,5.400000095367432,2.200000047683716,5.599999904632568,1.7000000476837158,0.20000000298023224,4.5,1.2999999523162842,1.899999976158142,3.9000000953674316,315999.0,6.5,502.0,2.299999952316284,-3.4000000953674316,0.029999999329447746,3.059999942779541,18687.0,0.30000001192092896,7.0,1.0,2.700000047683716,0.0020000000949949026,-0.8500000238418579,2.0799999237060547,8.399999618530273,5.0,,,,,,,,43.0,84.0,37.0,-40.0,571.0,22.0,-353.0,218.0,3.799999952316284,0.006928000133484602,0.01679999940097332
2021-12-01 04:30:00+00:00,2568.0,51.0,52.0,62.0,37.0,8.0,6.900000095367432,-2.0,113.19999694824219,-2.700000047683716,6.300000190734863,-0.20000000298023224,6.199999809265137,-1.100000023841858,0.5,3.9000000953674316,1.2999999523162842,1.7000000476837158,3.200000047683716,262380.0,5.699999809265137,491.0,3.200000047683716,-2.0,0.03500000014901161,2.619999885559082,31907.0,0.6000000238418579,7.0,1.7000000476837158,2.200000047683716,0.007000000216066837,0.5400000214576721,1.4500000476837158,7.300000190734863,4.900000095367432,,,,,,,,43.0,84.0,37.0,-38.0,307.0,22.0,-150.0,157.0,3.200000047683716,0.006928000133484602,0.022199999541044235
2021-12-01 05:30:00+00:00,2568.0,51.0,52.0,60.0,34.0,7.599999904632568,6.599999904632568,-2.799999952316284,119.0999984741211,-3.200000047683716,5.800000190734863,-0.30000001192092896,5.599999904632568,-1.399999976158142,0.5,3.299999952316284,1.7000000476837158,1.600000023841858,2.299999952316284,296054.0,5.0,501.0,4.5,-4.0,0.04899999871850014,2.509999990463257,57302.0,0.699999988079071,14.0,1.2000000476837158,2.200000047683716,0.014000000432133675,0.699999988079071,1.5299999713897705,7.400000095367432,4.800000190734863,,,,,,,,43.0,84.0,37.0,-38.0,265.0,22.0,-163.0,102.0,2.700000047683716,0.006928000133484602,0.021900000050663948
2021-12-01 06:30:00+00:00,2568.0,51.0,52.0,60.0,30.0,6.699999809265137,5.699999809265137,8.0,131.8000030517578,-3.799999952316284,4.199999809265137,0.800000011920929,4.300000190734863,-0.20000000298023224,0.30000001192092896,3.299999952316284,1.5,1.5,2.5,289675.0,3.799999952316284,512.0,4.900000095367432,-3.700000047683716,0.06599999964237213,2.0999999046325684,33443.0,0.5,15.0,1.7999999523162842,2.4000000953674316,0.026000000536441803,0.10000000149011612,1.4700000286102295,7.400000095367432,4.900000095367432,,,,,,,,43.0,84.0,27.0,-38.0,254.0,12.0,-187.0,67.0,2.200000047683716,0.006928000133484602,0.021400000900030136
2021-12-01 07:30:00+00:00,2568.0,51.0,52.0,62.0,35.0,6.199999809265137,5.599999904632568,-1.399999976158142,121.80000305175781,-3.0,4.800000190734863,-0.10000000149011612,4.599999904632568,-1.399999976158142,0.10000000149011612,2.200000047683716,1.0,0.8999999761581421,1.7000000476837158,267263.0,3.5999999046325684,527.0,3.5,-3.5,0.057999998331069946,2.059999942779541,24097.0,0.30000001192092896,11.0,0.8999999761581421,2.0,0.009999999776482582,0.7400000095367432,1.5399999618530273,8.100000381469727,5.300000190734863,,,,,,,,43.0,84.0,27.0,-35.0,427.0,12.0,-300.0,127.0,2.4000000953674316,0.006928000133484602,0.018300000578165054
2021-12-01 08:30:00+00:00,2568.0,51.0,52.0,61.0,35.0,6.5,4.599999904632568,-45.79999923706055,96.30000305175781,-0.4000000059604645,3.200000047683716,-3.299999952316284,2.0999999046325684,-4.099999904632568,0.5,4.300000190734863,1.7999999523162842,2.299999952316284,3.200000047683716,256561.0,3.5,542.0,3.4000000953674316,-1.2000000476837158,0.057999998331069946,2.119999885559082,27824.0,0.30000001192092896,12.0,1.5,2.4000000953674316,0.01600000075995922,2.2200000286102295,1.3300000429153442,7.800000190734863,5.300000190734863,,,,,,,,43.0,84.0,27.0,-27.0,443.0,12.0,-341.0,103.0,3.5999999046325684,0.006928000133484602,0.019600000232458115
2021-12-01 09:30:00+00:00,2568.0,51.0,52.0,57.0,34.0,6.599999904632568,5.599999904632568,-25.600000381469727,91.0,-0.10000000149011612,5.0,-2.4000000953674316,4.0,-3.9000000953674316,0.5,3.299999952316284,2.700000047683716,1.5,1.2000000476837158,245962.0,3.5999999046325684,533.0,2.299999952316284,-0.800000011920929,0.05700000002980232,2.0999999046325684,21394.0,0.20000000298023224,18.0,0.8999999761581421,1.0,0.010999999940395355,2.0799999237060547,1.2899999618530273,7.699999809265137,5.300000190734863,,,,,,,,43.0,84.0,23.0,-29.0,498.0,9.0,-351.0,147.0,3.5999999046325684,0.006928000133484602,0.0203000009059906
